time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id
2018-06-09T16:41:57.350Z,33.5253333,-116.7453333,4.22,0.66,ml,21,50,0.04052,0.13,ci,ci38194696
2018-06-09T16:27:44.980Z,19.4165001,-155.2684937,0.68,1.88,ml,19,64,0.009242,0.1,hv,hv70253632
2018-06-09T16:27:18.770Z,19.4293327,-155.2904968,0.15,1.96,ml,15,150,0.008341,0.31,hv,hv70253627
2018-06-09T16:20:20.060Z,33.7916667,-116.9561667,13.51,0.69,ml,16,50,0.0915,0.22,ci,ci38194680
2018-06-09T16:18:33.789Z,65.8127,-149.8695,0,1.8,ml,,,,0.78,ak,ak19738882
2018-06-09T16:14:54.950Z,19.427166,-155.2836609,-0.11,1.74,ml,12,143,0.006216,0.17,hv,hv70253582
2018-06-09T16:07:48.860Z,37.6124992,-118.8268356,4.62,0.85,md,8,177,0.01912,0.05,nc,nc73027846
2018-06-09T15:59:25.624Z,37.3062,-117.2291,5.1,0.3,ml,8,213.72,0.026,0.1431,nn,nn00638989
2018-06-09T15:51:57.620Z,19.3968334,-155.2494965,-0.91,2.75,ml,35,45,0.01139,0.38,hv,hv70253502
2018-06-09T15:50:32.910Z,19.3939991,-155.2656708,0.89,1.73,ml,18,82,0.004234,0.3,hv,hv70253497
2018-06-09T15:50:31.620Z,19.392334,-155.2649994,-0.42,1.76,ml,15,75,0.005957,0.3,hv,hv70253492
2018-06-09T15:43:50.620Z,19.4514999,-155.2565002,-0.27,1.77,ml,8,317,0.02649,0.2,hv,hv70253467
2018-06-09T15:43:12.000Z,19.3903332,-154.897171,5.29,2.55,ml,19,274,0.11,0.2,hv,hv70253462
2018-06-09T15:29:39.340Z,19.3964996,-155.2613373,0.23,2.24,ml,11,96,0.004758,0.08,hv,hv70253427
2018-06-09T15:25:42.850Z,33.5283333,-116.4516667,7.9,0.98,ml,31,46,0.02224,0.23,ci,ci38194664
2018-06-09T15:21:57.410Z,38.8238335,-122.7789993,1.62,2.37,md,36,30,0.009711,0.04,nc,nc73027831
2018-06-09T15:17:52.330Z,33.3288333,-116.3875,11.98,0.69,ml,14,175,0.06537,0.15,ci,ci38194656
2018-06-09T15:17:01.500Z,19.4,-155.2656667,0.29,2.91,ml,34,58,0.001782,0.1,hv,hv70253392
2018-06-09T15:16:51.890Z,33.5298333,-116.5481667,15.39,0.78,ml,33,64,0.05697,0.23,ci,ci38194648
2018-06-09T15:14:01.780Z,19.4246674,-155.2506714,0.92,1.7,md,20,139,0.009826,0.11,hv,hv70253387
2018-06-09T15:09:01.550Z,19.362833,-155.2828369,1.2,1.81,ml,10,120,0.02025,0.07,hv,hv70253372
2018-06-09T15:05:17.640Z,19.4261665,-155.2936707,1.39,2.6,ml,19,72,0.005684,0.14,hv,hv70253357
2018-06-09T15:05:13.330Z,19.3218327,-155.1956635,2.62,2.95,ml,14,96,0.04879,0.23,hv,hv70253362
2018-06-09T15:05:09.497Z,65.8092,-149.87,2.1,2,ml,,,,0.76,ak,ak19738285
2018-06-09T15:04:29.690Z,19.3910007,-155.3423309,2.84,2.11,ml,8,302,0.06103,0.14,hv,hv70253352
2018-06-09T14:58:54.270Z,19.4169998,-155.2841644,0.45,2.15,ml,19,65,0.0006618,0.17,hv,hv70253342
2018-06-09T14:55:16.750Z,19.4108334,-155.2533264,0.65,2.67,ml,21,119,0.006307,0.24,hv,hv70253337
2018-06-09T14:48:18.100Z,19.4121667,-155.2821667,0.46,5.2,mw,22,67,0.005762,0.08,hv,hv70253332
2018-06-09T14:48:02.810Z,19.403,-155.276,0.84,2.7,ml,21,55,0.007911,0.1,hv,hv70253327
2018-06-09T14:47:00.150Z,19.3999996,-155.2793274,0.2,2.53,ml,29,38,0.007072,0.25,hv,hv70253322
2018-06-09T14:46:10.784Z,65.7825,-149.8302,9,2.5,ml,,,,0.78,ak,ak19738262
2018-06-09T14:45:26.790Z,19.427166,-155.2803345,0.42,2.28,ml,14,82,0.003532,0.17,hv,hv70253317
2018-06-09T14:42:37.640Z,19.3741665,-155.279007,-0.86,2.05,ml,10,109,0.01256,0.28,hv,hv70253312
2018-06-09T14:40:42.660Z,19.4116669,-155.2879944,0.32,2.51,ml,25,45,0.007007,0.22,hv,hv70253307
2018-06-09T14:39:12.540Z,19.4239998,-155.2708282,1.62,1.94,ml,15,90,0.004265,0.18,hv,hv70253302
2018-06-09T14:32:32.840Z,19.4006672,-155.2541656,0.96,2.56,ml,20,53,0.01146,0.31,hv,hv70253292
2018-06-09T14:31:21.910Z,38.8181648,-122.7945023,3.23,0.62,md,14,64,0.01185,0.02,nc,nc73027826
2018-06-09T14:31:12.480Z,19.4160004,-155.279007,0.89,2.49,ml,35,33,0.00508,0.19,hv,hv70253287
2018-06-09T14:28:51.670Z,19.3939991,-155.2858276,0.41,2.61,ml,31,40,0.008381,0.25,hv,hv70253282
2018-06-09T14:27:01.030Z,19.4083328,-155.2570038,1,2.47,ml,21,59,0.004615,0.33,hv,hv70253277
2018-06-09T14:26:57.270Z,19.423666,-155.2669983,2.02,2.47,ml,12,106,0.003455,0.17,hv,hv70253272
2018-06-09T14:25:09.790Z,19.4103336,-155.2409973,0.2,2.33,ml,12,157,0.0179,0.11,hv,hv70253267
2018-06-09T14:23:20.360Z,19.3943329,-155.2709961,-0.24,2.5,ml,27,45,0.002702,0.28,hv,hv70253257
2018-06-09T14:23:19.310Z,19.3471661,-155.2181702,15.59,2.73,ml,9,234,0.03374,0.22,hv,hv70253262
2018-06-09T14:22:30.400Z,19.3969994,-155.269165,1.25,2.18,ml,12,125,0.003205,0.23,hv,hv70253252
2018-06-09T14:21:07.150Z,19.3981667,-155.2720032,1.1,2.36,ml,24,51,0.003185,0.22,hv,hv70253247
2018-06-09T14:20:05.700Z,19.4018326,-155.263504,1.22,2.23,ml,19,103,0.004296,0.19,hv,hv70253242
2018-06-09T14:19:08.380Z,19.4003334,-155.2669983,1.82,1.86,ml,7,106,0.002272,0.12,hv,hv70253237
2018-06-09T14:18:52.370Z,19.3514996,-155.2688293,-1.01,2.06,ml,9,83,0.0206,0.1,hv,hv70253232
